author_pk,affiliation_pk
MDDBAUT000001,MDDBAFF000001
MDDBAUT000003,MDDBAFF000001
MDDBAUT000058,MDDBAFF000001
MDDBAUT000002,MDDBAFF000002
MDDBAUT000004,MDDBAFF000002
MDDBAUT000010,MDDBAFF000002
MDDBAUT000013,MDDBAFF000002
MDDBAUT000016,MDDBAFF000002
MDDBAUT000019,MDDBAFF000002
MDDBAUT000022,MDDBAFF000002
MDDBAUT000023,MDDBAFF000002
MDDBAUT000024,MDDBAFF000002
MDDBAUT000025,MDDBAFF000002
MDDBAUT000036,MDDBAFF000002
MDDBAUT000038,MDDBAFF000002
MDDBAUT000040,MDDBAFF000002
MDDBAUT000056,MDDBAFF000002
MDDBAUT000110,MDDBAFF000002
MDDBAUT000111,MDDBAFF000002
MDDBAUT000112,MDDBAFF000002
MDDBAUT000114,MDDBAFF000002
MDDBAUT000118,MDDBAFF000002
MDDBAUT000119,MDDBAFF000002
MDDBAUT000122,MDDBAFF000002
MDDBAUT000125,MDDBAFF000002
MDDBAUT000126,MDDBAFF000002
MDDBAUT000127,MDDBAFF000002
MDDBAUT000129,MDDBAFF000002
MDDBAUT000130,MDDBAFF000002
MDDBAUT000048,MDDBAFF000003
MDDBAUT000005,MDDBAFF000004
MDDBAUT000006,MDDBAFF000005
MDDBAUT000007,MDDBAFF000006
MDDBAUT000008,MDDBAFF000007
MDDBAUT000009,MDDBAFF000008
MDDBAUT000051,MDDBAFF000008
MDDBAUT000011,MDDBAFF000009
MDDBAUT000012,MDDBAFF000010
MDDBAUT000014,MDDBAFF000011
MDDBAUT000015,MDDBAFF000012
MDDBAUT000020,MDDBAFF000012
MDDBAUT000017,MDDBAFF000013
MDDBAUT000045,MDDBAFF000013
MDDBAUT000018,MDDBAFF000014
MDDBAUT000053,MDDBAFF000014
MDDBAUT000021,MDDBAFF000015
MDDBAUT000026,MDDBAFF000016
MDDBAUT000027,MDDBAFF000017
MDDBAUT000028,MDDBAFF000018
MDDBAUT000029,MDDBAFF000019
MDDBAUT000044,MDDBAFF000019
MDDBAUT000131,MDDBAFF000019
MDDBAUT000132,MDDBAFF000019
MDDBAUT000134,MDDBAFF000019
MDDBAUT000030,MDDBAFF000020
MDDBAUT000047,MDDBAFF000020
MDDBAUT000079,MDDBAFF000020
MDDBAUT000031,MDDBAFF000021
MDDBAUT000055,MDDBAFF000021
MDDBAUT000032,MDDBAFF000022
MDDBAUT000033,MDDBAFF000023
MDDBAUT000034,MDDBAFF000024
MDDBAUT000035,MDDBAFF000025
MDDBAUT000037,MDDBAFF000026
MDDBAUT000039,MDDBAFF000027
MDDBAUT000041,MDDBAFF000028
MDDBAUT000097,MDDBAFF000028
MDDBAUT000098,MDDBAFF000028
MDDBAUT000099,MDDBAFF000028
MDDBAUT000042,MDDBAFF000029
