author_pk,article_pk,contribution_first
MDDBAUT000001,MDDBART000001,Y
MDDBAUT000002,MDDBART000001,N
MDDBAUT000003,MDDBART000001,N
MDDBAUT000004,MDDBART000001,N
MDDBAUT000005,MDDBART000001,N
MDDBAUT000006,MDDBART000001,N
MDDBAUT000007,MDDBART000001,N
MDDBAUT000008,MDDBART000001,N
MDDBAUT000009,MDDBART000001,N
MDDBAUT000010,MDDBART000001,N
MDDBAUT000011,MDDBART000001,N
MDDBAUT000012,MDDBART000001,N
MDDBAUT000013,MDDBART000001,N
MDDBAUT000014,MDDBART000001,N
MDDBAUT000015,MDDBART000001,N
MDDBAUT000016,MDDBART000001,N
MDDBAUT000017,MDDBART000001,N
MDDBAUT000018,MDDBART000001,N
MDDBAUT000019,MDDBART000001,N
MDDBAUT000020,MDDBART000001,N
MDDBAUT000021,MDDBART000001,N
MDDBAUT000022,MDDBART000001,N
MDDBAUT000023,MDDBART000001,N
MDDBAUT000024,MDDBART000001,N
MDDBAUT000025,MDDBART000001,N
MDDBAUT000026,MDDBART000001,N
MDDBAUT000027,MDDBART000001,N
MDDBAUT000028,MDDBART000001,N
MDDBAUT000029,MDDBART000001,N
MDDBAUT000030,MDDBART000001,N
MDDBAUT000031,MDDBART000001,N
MDDBAUT000032,MDDBART000001,N
MDDBAUT000033,MDDBART000001,N
MDDBAUT000034,MDDBART000001,N
MDDBAUT000035,MDDBART000001,N
MDDBAUT000036,MDDBART000001,N
MDDBAUT000037,MDDBART000001,N
MDDBAUT000038,MDDBART000001,N
MDDBAUT000039,MDDBART000001,N
MDDBAUT000040,MDDBART000001,N
MDDBAUT000041,MDDBART000001,N
MDDBAUT000041,MDDBART000010,N
MDDBAUT000042,MDDBART000001,N
MDDBAUT000043,MDDBART000001,N
MDDBAUT000044,MDDBART000001,N
MDDBAUT000044,MDDBART000009,N
MDDBAUT000045,MDDBART000001,N
MDDBAUT000046,MDDBART000001,N
MDDBAUT000047,MDDBART000001,N
MDDBAUT000048,MDDBART000001,N
MDDBAUT000049,MDDBART000001,N
MDDBAUT000050,MDDBART000001,N
MDDBAUT000051,MDDBART000001,N
MDDBAUT000052,MDDBART000001,N
MDDBAUT000053,MDDBART000001,N
MDDBAUT000054,MDDBART000001,N
MDDBAUT000055,MDDBART000001,N
MDDBAUT000056,MDDBART000001,N
MDDBAUT000057,MDDBART000001,N
MDDBAUT000058,MDDBART000001,N
MDDBAUT000058,MDDBART000005,N
MDDBAUT000059,MDDBART000002,Y
MDDBAUT000060,MDDBART000002,N
MDDBAUT000061,MDDBART000002,N
MDDBAUT000062,MDDBART000002,N
MDDBAUT000063,MDDBART000002,N
MDDBAUT000064,MDDBART000002,N
MDDBAUT000065,MDDBART000002,N
MDDBAUT000066,MDDBART000002,N
