study_pk,sample_pk
MDDBSRA000001,MDDBSRS000001
MDDBSRA000001,MDDBSRS000002
MDDBSRA000001,MDDBSRS000003
MDDBSRA000001,MDDBSRS000004
MDDBSRA000001,MDDBSRS000005
MDDBSRA000001,MDDBSRS000006
MDDBSRA000001,MDDBSRS000007
MDDBSRA000001,MDDBSRS000008
MDDBSRA000001,MDDBSRS000009
MDDBSRA000001,MDDBSRS000010
MDDBSRA000001,MDDBSRS000011
MDDBSRA000001,MDDBSRS000012
MDDBSRA000001,MDDBSRS000013
MDDBSRA000001,MDDBSRS000014
MDDBSRA000001,MDDBSRS000015
MDDBSRA000001,MDDBSRS000016
MDDBSRA000001,MDDBSRS000017
MDDBSRA000001,MDDBSRS000018
MDDBSRA000001,MDDBSRS000019
MDDBSRA000001,MDDBSRS000020
MDDBSRA000001,MDDBSRS000021
MDDBSRA000001,MDDBSRS000022
MDDBSRA000001,MDDBSRS000023
MDDBSRA000001,MDDBSRS000024
MDDBSRA000001,MDDBSRS000025
MDDBSRA000001,MDDBSRS000026
MDDBSRA000001,MDDBSRS000027
MDDBSRA000001,MDDBSRS000028
MDDBSRA000001,MDDBSRS000029
MDDBSRA000001,MDDBSRS000030
MDDBSRA000001,MDDBSRS000031
MDDBSRA000001,MDDBSRS000032
MDDBSRA000001,MDDBSRS000033
MDDBSRA000001,MDDBSRS000034
MDDBSRA000001,MDDBSRS000035
MDDBSRA000001,MDDBSRS000036
MDDBSRA000001,MDDBSRS000037
MDDBSRA000001,MDDBSRS000038
MDDBSRA000001,MDDBSRS000039
MDDBSRA000001,MDDBSRS000040
MDDBSRA000001,MDDBSRS000041
MDDBSRA000001,MDDBSRS000042
MDDBSRA000001,MDDBSRS000043
MDDBSRA000001,MDDBSRS000044
MDDBSRA000001,MDDBSRS000045
MDDBSRA000001,MDDBSRS000046
MDDBSRA000001,MDDBSRS000047
MDDBSRA000001,MDDBSRS000048
MDDBSRA000001,MDDBSRS000049
MDDBSRA000001,MDDBSRS000050
MDDBSRA000001,MDDBSRS000051
MDDBSRA000001,MDDBSRS000052
MDDBSRA000001,MDDBSRS000053
