journal_pk,journal_title,journal_iso,journal_issn,journal_issnlink,medline_ta,medline_country,country_geonames_continent,country_geonames_pref_en,region_geonames_pref_en,country_geonames_toponym,country_geonames_abbrev,country_geonamesurl,country_geonames_id,country_lat_centroid,country_lng_centroid,nlm_id,nml_link
MDDBJOU000001,"Science (New York, N.Y.)",Science,1095-9203,https://portal.issn.org/resource/ISSN/1095-9203,Science,United States,North America,United States,Empty,United States,US,https://www.geonames.org/6252001/United States.html,6252001,39.76000000,-98.50000000,404511,https://www.ncbi.nlm.nih.gov/nlmcatalog/?term=404511
MDDBJOU000002,FEMS microbiology ecology,FEMS Microbiol. Ecol.,1574-6941,https://portal.issn.org/resource/ISSN/1574-6941,FEMS Microbiol Ecol,England,Europe,United Kingdom,England,England,GB,https://www.geonames.org/6269131/england.html,6269131,52.16000000,-0.70000000,8901229,https://www.ncbi.nlm.nih.gov/nlmcatalog/?term=8901229
MDDBJOU000003,The New phytologist,New Phytol.,1469-8137,https://portal.issn.org/resource/ISSN/1469-8137,New Phytol,England,Europe,United Kingdom,England,England,GB,https://www.geonames.org/6269131/england.html,6269131,52.16000000,-0.70000000,9882884,https://www.ncbi.nlm.nih.gov/nlmcatalog/?term=9882884
MDDBJOU000004,Molecular ecology resources,Mol Ecol Resour,1755-0998,https://portal.issn.org/resource/ISSN/1755-0998,Mol Ecol Resour,England,Europe,United Kingdom,England,England,GB,https://www.geonames.org/6269131/england.html,6269131,52.16000000,-0.70000000,101465604,https://www.ncbi.nlm.nih.gov/nlmcatalog/?term=101465604
MDDBJOU000005,The ISME journal,ISME J,1751-7370,https://portal.issn.org/resource/ISSN/1751-7370,ISME J,England,Europe,United Kingdom,England,England,GB,https://www.geonames.org/6269131/england.html,6269131,52.16000000,-0.70000000,101301086,https://www.ncbi.nlm.nih.gov/nlmcatalog/?term=101301086
MDDBJOU000006,Molecular ecology,Mol. Ecol.,1365-294X,https://portal.issn.org/resource/ISSN/1365-294X,Mol Ecol,England,Europe,United Kingdom,England,England,GB,https://www.geonames.org/6269131/england.html,6269131,52.16000000,-0.70000000,9214478,https://www.ncbi.nlm.nih.gov/nlmcatalog/?term=9214478
MDDBJOU000007,Proceedings of the National Academy of Sciences of the United States of America,Proc. Natl. Acad. Sci. U.S.A.,1091-6490,https://portal.issn.org/resource/ISSN/1091-6490,Proc Natl Acad Sci U S A,United States,North America,United States,Empty,United States,US,https://www.geonames.org/6252001/United States.html,6252001,39.76000000,-98.50000000,7505876,https://www.ncbi.nlm.nih.gov/nlmcatalog/?term=7505876
MDDBJOU000008,Scientific reports,Sci Rep,2045-2322,https://portal.issn.org/resource/ISSN/2045-2322,Sci Rep,England,Europe,United Kingdom,England,England,GB,https://www.geonames.org/6269131/england.html,6269131,52.16000000,-0.70000000,101563288,https://www.ncbi.nlm.nih.gov/nlmcatalog/?term=101563288
MDDBJOU000009,Molecular ecology,Mol. Ecol.,1365-294X,https://portal.issn.org/resource/ISSN/1365-294X,Mol Ecol,England,Europe,United Kingdom,England,England,GB,https://www.geonames.org/6269131/england.html,6269131,52.16000000,-0.70000000,9214478,https://www.ncbi.nlm.nih.gov/nlmcatalog/?term=9214478
MDDBJOU000010,Ecology and evolution,Ecol Evol,2045-7758,https://portal.issn.org/resource/ISSN/2045-7758,Ecol Evol,England,Europe,United Kingdom,England,England,GB,https://www.geonames.org/6269131/england.html,6269131,52.16000000,-0.70000000,101566408,https://www.ncbi.nlm.nih.gov/nlmcatalog/?term=101566408
MDDBJOU000011,Applied and environmental microbiology,Appl. Environ. Microbiol.,0099-2240,https://portal.issn.org/resource/ISSN/0099-2240,Appl Environ Microbiol,United States,North America,United States,Empty,United States,US,https://www.geonames.org/6252001/United States.html,6252001,39.76000000,-98.50000000,7605801,https://www.ncbi.nlm.nih.gov/nlmcatalog/?term=7605801
MDDBJOU000012,PloS one,PLoS ONE,1932-6203,https://portal.issn.org/resource/ISSN/1932-6203,PLoS One,United States,North America,United States,Empty,United States,US,https://www.geonames.org/6252001/United States.html,6252001,39.76000000,-98.50000000,101285081,https://www.ncbi.nlm.nih.gov/nlmcatalog/?term=101285081
MDDBJOU000013,Ecology letters,Ecol. Lett.,1461-0248,https://portal.issn.org/resource/ISSN/1461-0248,Ecol Lett,England,Europe,United Kingdom,England,England,GB,https://www.geonames.org/6269131/england.html,6269131,52.16000000,-0.70000000,101121949,https://www.ncbi.nlm.nih.gov/nlmcatalog/?term=101121949
MDDBJOU000014,Proceedings. Biological sciences,Proc. Biol. Sci.,1471-2954,https://portal.issn.org/resource/ISSN/1471-2954,Proc Biol Sci,England,Europe,United Kingdom,England,England,GB,https://www.geonames.org/6269131/england.html,6269131,52.16000000,-0.70000000,101245157,https://www.ncbi.nlm.nih.gov/nlmcatalog/?term=101245157
