sample_pk,biosample_id,biosample_link,sample_id,sample_type,sra_sample,sample_link,sample_xml_link,current_land,current_vegetation,env_feature,env_feature_id,envo_term_iri_env_feature_link,envo_biome_term,envo_biome_id,envo_biome_link,elevation,elevation_unit,ph,ph_meth,tot_nitro,tot_n_meth,tot_org_c,tot_org_c_meth,sampl_collect_device,estimated_size,estimated_size_curated,estimated_size_unit,isol_growth_condt,collection_date,collection_year,propagation,sampl_size,env_material,num_replicons,depth_value,depth_unit,horizon,sample_location_original,sample_location_country,location_split2,location_split3,country_geonames_continent,country_parent,country_geoname_pref_en,country_geonamesname,country_geoname_abbrev,country_geoname_url,country_geoname_id,sample_coordinates_original,sample_lat_dec,sample_lon_dec,location_curation_term,margin_error_value_i,lat_corrected_label_i,lon_corrected_label_i,lat_corrected_value_i,lon_corrected_value_i
MDDBSRS000001,SAMN02864543,https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN02864543,S075,soil,SRS651360,https://www.ncbi.nlm.nih.gov/sra/?term=SRS651360,https://www.ncbi.nlm.nih.gov/sra/?term=SRS651360&report=FullXml,intermixed hardwood and conifers,natural forest,forest,ENVO:00000111,http://purl.obolibrary.org/obo/ENVO_00000111,temperate broadleaf forest biome,ENVO:01000202,http://purl.obolibrary.org/obo/ENVO_01000202,99.99,meter,5.46,KCl extraction,3.12510397,isotope spectrometer for total N,67.09260390,isotope spectrometer for total C,2500,2 g,2.00,gram,natural,2011,2011,not applicable,40 pooled cores of 50-mm diam. Samples to 50 mm depth from 2500-m2 area,soil,4,0.025,meter,"O horizon, A horizon",Argentina:Arroyo Los Notros,Argentina,Arroyo Los Notros,,South America,South America,Argentina,Argentine Republic,AR,http://www.geonames.org/3865483/argentine-republic.html,3865483,-112.6346,-112.63460000,0E-8,Argentina,0.0010,Yes,Yes,-38.41609700,-63.61667200
MDDBSRS000002,SAMN02864548,https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN02864548,S080,soil,SRS651365,https://www.ncbi.nlm.nih.gov/sra/?term=SRS651365,https://www.ncbi.nlm.nih.gov/sra/?term=SRS651365&report=FullXml,intermixed hardwood and conifers,natural forest,forest,ENVO:00000111,http://purl.obolibrary.org/obo/ENVO_00000111,temperate broadleaf forest biome,ENVO:01000202,http://purl.obolibrary.org/obo/ENVO_01000202,99.99,meter,5.32,KCl extraction,11.27562055,isotope spectrometer for total N,202.16781340,isotope spectrometer for total C,2500,2 g,2.00,gram,natural,2011,2011,not applicable,40 pooled cores of 50-mm diam. Samples to 50 mm depth from 2500-m2 area,soil,4,0.025,meter,"O horizon, A horizon",Argentina:Camino a Que?i,Argentina,Camino a Que?i,,South America,South America,Argentina,Argentine Republic,AR,http://www.geonames.org/3865483/argentine-republic.html,3865483,-111.8,-111.80000000,0E-8,Argentina,0.0010,Yes,Yes,-38.41609700,-63.61667200
MDDBSRS000003,SAMN02864549,https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN02864549,S081,soil,SRS651366,https://www.ncbi.nlm.nih.gov/sra/?term=SRS651366,https://www.ncbi.nlm.nih.gov/sra/?term=SRS651366&report=FullXml,intermixed hardwood and conifers,natural forest,forest,ENVO:00000111,http://purl.obolibrary.org/obo/ENVO_00000111,temperate broadleaf forest biome,ENVO:01000202,http://purl.obolibrary.org/obo/ENVO_01000202,99.99,meter,4.92,KCl extraction,5.44841190,isotope spectrometer for total N,88.79934283,isotope spectrometer for total C,2500,2 g,2.00,gram,natural,2011,2011,not applicable,40 pooled cores of 50-mm diam. Samples to 50 mm depth from 2500-m2 area,soil,4,0.025,meter,"O horizon, A horizon",Argentina:Camino a Que?i,Argentina,Camino a Que?i,,South America,South America,Argentina,Argentine Republic,AR,http://www.geonames.org/3865483/argentine-republic.html,3865483,-111.8066,-111.80660000,0E-8,Argentina,0.0010,Yes,Yes,-38.41609700,-63.61667200
MDDBSRS000004,SAMN02864555,https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN02864555,S087,soil,SRS651372,https://www.ncbi.nlm.nih.gov/sra/?term=SRS651372,https://www.ncbi.nlm.nih.gov/sra/?term=SRS651372&report=FullXml,intermixed hardwood and conifers,natural forest,forest,ENVO:00000111,http://purl.obolibrary.org/obo/ENVO_00000111,temperate broadleaf forest biome,ENVO:01000202,http://purl.obolibrary.org/obo/ENVO_01000202,99.99,meter,5.28,KCl extraction,12.00828968,isotope spectrometer for total N,215.64802170,isotope spectrometer for total C,2500,2 g,2.00,gram,natural,2011,2011,not applicable,40 pooled cores of 50-mm diam. Samples to 50 mm depth from 2500-m2 area,soil,4,0.025,meter,"O horizon, A horizon",Argentina:Chall Huaco,Argentina,Chall Huaco,,South America,South America,Argentina,Argentine Republic,AR,http://www.geonames.org/3865483/argentine-republic.html,3865483,-112.5307,-112.53070000,0E-8,Argentina Chall Huaco,0.0010,Yes,Yes,-41.21876120,-71.30292150
MDDBSRS000005,SAMN02864560,https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN02864560,S092,soil,SRS651378,https://www.ncbi.nlm.nih.gov/sra/?term=SRS651378,https://www.ncbi.nlm.nih.gov/sra/?term=SRS651378&report=FullXml,intermixed hardwood and conifers,natural forest,forest,ENVO:00000111,http://purl.obolibrary.org/obo/ENVO_00000111,temperate broadleaf forest biome,ENVO:01000202,http://purl.obolibrary.org/obo/ENVO_01000202,99.99,meter,4.21,KCl extraction,4.52713850,isotope spectrometer for total N,84.75494732,isotope spectrometer for total C,2500,2 g,2.00,gram,natural,2011,2011,not applicable,40 pooled cores of 50-mm diam. Samples to 50 mm depth from 2500-m2 area,soil,4,0.025,meter,"O horizon, A horizon",Argentina:Estancia Ushuaia:Tolhuin,Argentina,Estancia Ushuaia,Tolhuin,South America,South America,Argentina,Argentine Republic,AR,http://www.geonames.org/3865483/argentine-republic.html,3865483,-121.93016,-121.93016000,0E-8,Argentina Estancia Ushuaia Tolhuin,0.0010,Yes,Yes,-54.51088930,-67.19298950
MDDBSRS000006,SAMN02864561,https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN02864561,S093,soil,SRS651379,https://www.ncbi.nlm.nih.gov/sra/?term=SRS651379,https://www.ncbi.nlm.nih.gov/sra/?term=SRS651379&report=FullXml,intermixed hardwood and conifers,natural forest,forest,ENVO:00000111,http://purl.obolibrary.org/obo/ENVO_00000111,temperate broadleaf forest biome,ENVO:01000202,http://purl.obolibrary.org/obo/ENVO_01000202,99.99,meter,4.60,KCl extraction,5.39640876,isotope spectrometer for total N,94.38593396,isotope spectrometer for total C,2500,2 g,2.00,gram,natural,2011,2011,not applicable,40 pooled cores of 50-mm diam. Samples to 50 mm depth from 2500-m2 area,soil,4,0.025,meter,"O horizon, A horizon",Argentina:Estancia Ushuaia:Tolhuin,Argentina,Estancia Ushuaia,Tolhuin,South America,South America,Argentina,Argentine Republic,AR,http://www.geonames.org/3865483/argentine-republic.html,3865483,-121.92856,-121.92856000,0E-8,Argentina Estancia Ushuaia Tolhuin,0.0010,Yes,Yes,-54.51088930,-67.19298950
MDDBSRS000007,SAMN02864562,https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN02864562,S094,soil,SRS651377,https://www.ncbi.nlm.nih.gov/sra/?term=SRS651377,https://www.ncbi.nlm.nih.gov/sra/?term=SRS651377&report=FullXml,intermixed hardwood and conifers,natural forest,forest,ENVO:00000111,http://purl.obolibrary.org/obo/ENVO_00000111,temperate broadleaf forest biome,ENVO:01000202,http://purl.obolibrary.org/obo/ENVO_01000202,99.99,meter,4.40,KCl extraction,6.08243346,isotope spectrometer for total N,127.44377290,isotope spectrometer for total C,2500,2 g,2.00,gram,natural,2011,2011,not applicable,40 pooled cores of 50-mm diam. Samples to 50 mm depth from 2500-m2 area,soil,4,0.025,meter,"O horizon, A horizon",Argentina:Estancia Ushuaia:Tolhuin,Argentina,Estancia Ushuaia,Tolhuin,South America,South America,Argentina,Argentine Republic,AR,http://www.geonames.org/3865483/argentine-republic.html,3865483,-121.92725,-121.92725000,0E-8,Argentina Estancia Ushuaia Tolhuin,0.0010,Yes,Yes,-54.51088930,-67.19298950
MDDBSRS000008,SAMN02864546,https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN02864546,S078,soil,SRS651363,https://www.ncbi.nlm.nih.gov/sra/?term=SRS651363,https://www.ncbi.nlm.nih.gov/sra/?term=SRS651363&report=FullXml,intermixed hardwood and conifers,natural forest,forest,ENVO:00000111,http://purl.obolibrary.org/obo/ENVO_00000111,temperate broadleaf forest biome,ENVO:01000202,http://purl.obolibrary.org/obo/ENVO_01000202,99.99,meter,4.91,KCl extraction,3.87809054,isotope spectrometer for total N,69.54251160,isotope spectrometer for total C,2500,2 g,2.00,gram,natural,2011,2011,not applicable,40 pooled cores of 50-mm diam. Samples to 50 mm depth from 2500-m2 area,soil,4,0.025,meter,"O horizon, A horizon",Argentina:Hua Hum,Argentina,Hua Hum,,South America,South America,Argentina,Argentine Republic,AR,http://www.geonames.org/3865483/argentine-republic.html,3865483,-111.79106,-111.79106000,0E-8,Argentina Hua Hum,0.0010,Yes,Yes,-40.10527800,-71.66972200
MDDBSRS000009,SAMN02864547,https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN02864547,S079,soil,SRS651364,https://www.ncbi.nlm.nih.gov/sra/?term=SRS651364,https://www.ncbi.nlm.nih.gov/sra/?term=SRS651364&report=FullXml,intermixed hardwood and conifers,natural forest,forest,ENVO:00000111,http://purl.obolibrary.org/obo/ENVO_00000111,temperate broadleaf forest biome,ENVO:01000202,http://purl.obolibrary.org/obo/ENVO_01000202,99.99,meter,5.20,KCl extraction,5.51151372,isotope spectrometer for total N,95.96430740,isotope spectrometer for total C,2500,2 g,2.00,gram,natural,2011,2011,not applicable,40 pooled cores of 50-mm diam. Samples to 50 mm depth from 2500-m2 area,soil,4,0.025,meter,"O horizon, A horizon",Argentina:Hua Hum,Argentina,Hua Hum,,South America,South America,Argentina,Argentine Republic,AR,http://www.geonames.org/3865483/argentine-republic.html,3865483,-111.7908,-111.79080000,0E-8,Argentina Hua Hum,0.0010,Yes,Yes,-40.10527800,-71.66972200
MDDBSRS000010,SAMN02864556,https://www.ncbi.nlm.nih.gov/biosample/?term=SAMN02864556,S088,soil,SRS651373,https://www.ncbi.nlm.nih.gov/sra/?term=SRS651373,https://www.ncbi.nlm.nih.gov/sra/?term=SRS651373&report=FullXml,intermixed hardwood and conifers,natural forest,forest,ENVO:00000111,http://purl.obolibrary.org/obo/ENVO_00000111,temperate broadleaf forest biome,ENVO:01000202,http://purl.obolibrary.org/obo/ENVO_01000202,99.99,meter,5.23,KCl extraction,0.85442414,isotope spectrometer for total N,15.48578931,isotope spectrometer for total C,5000,2 g,2.00,gram,natural,2011,2011,not applicable,40 pooled cores of 50-mm diam. Samples to 50 mm depth from 5000-m2 area,soil,4,0.025,meter,"O horizon, A horizon",Argentina:Huemules:Esquel,Argentina,Huemules,Esquel,South America,South America,Argentina,Argentine Republic,AR,http://www.geonames.org/3865483/argentine-republic.html,3865483,-114.243,-114.24300000,0E-8,Argentina Huemules Esquel,0.0010,Yes,Yes,-42.91072810,-71.30527160
