article_pk,study_pk
MDDBART000001,MDDBSRA000001
MDDBART000002,MDDBSRA000002
MDDBART000003,MDDBSRA000003
MDDBART000004,MDDBSRA000004
MDDBART000005,MDDBSRA000005
MDDBART000006,MDDBSRA000006
MDDBART000007,MDDBSRA000007
MDDBART000008,MDDBSRA000007
MDDBART000010,MDDBSRA000010
MDDBART000011,MDDBSRA000011
MDDBART000012,MDDBSRA000012
MDDBART000013,MDDBSRA000013
MDDBART000014,MDDBSRA000014
MDDBART000015,MDDBSRA000015
MDDBART000016,MDDBSRA000016
MDDBART000017,MDDBSRA000017
MDDBART000020,MDDBSRA000020
MDDBART000021,MDDBSRA000021
MDDBART000022,MDDBSRA000022
MDDBART000023,MDDBSRA000023
MDDBART000024,MDDBSRA000024
MDDBART000025,MDDBSRA000025
