sequencerun_pk,run_sra_accession,run_ncbi_trace_link,sample_name,run_ncbi_identifier,run_avg_spot_length,run_bases,run_bytes,run_megabases,run_megabytes,run_num_replicons,run_releasedate,run_releasedate_curated
MDDBSRR000001,SRR1502516,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502516,S075,pooled forest soil sample-S075,473,2104860,4697187,2,4,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000002,SRR1502521,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502521,S080,pooled forest soil sample-S080,459,2667023,6004471,2,5,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000003,SRR1502522,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502522,S081,pooled forest soil sample-S081,467,2803350,6274917,2,5,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000004,SRR1502528,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502528,S087,pooled forest soil sample-S087,469,1841312,4116630,1,3,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000005,SRR1502533,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502533,S092,pooled forest soil sample-S092,458,2545017,5728475,2,5,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000006,SRR1502534,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502534,S093,pooled forest soil sample-S093,446,2239473,5068445,2,4,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000007,SRR1502535,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502535,S094,pooled forest soil sample-S094,452,2202144,4968444,2,4,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000008,SRR1502519,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502519,S078,pooled forest soil sample-S078,462,1982432,4450026,1,4,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000009,SRR1502520,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502520,S079,pooled forest soil sample-S079,473,4281556,9495758,4,9,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000010,SRR1502529,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502529,S088,pooled forest soil sample-S088,465,2145844,4814594,2,4,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000011,SRR1502530,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502530,S089,pooled forest soil sample-S089,465,2568561,5755370,2,5,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000012,SRR1502517,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502517,S076,pooled forest soil sample-S076,466,2351365,5249324,2,5,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000013,SRR1502518,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502518,S077,pooled forest soil sample-S077,460,2690953,6023891,2,5,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000014,SRR1502536,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502536,S095,pooled forest soil sample-S095,465,2086860,4659621,2,4,4,2014-07-09T00:00:00Z,2014-07-09
